student_id,gender,college_tier,socioeconomic_status,placement_status
STU_0932,Other,Tier 2,Urban,Placed
STU_1337,Male,Tier 2,Rural,Placed
STU_0595,Female,Tier 3,Urban,Not Placed
STU_0238,Male,Tier 1,Rural,Placed
STU_1447,Female,Tier 3,Semi-Urban,Not Placed
STU_1327,Male,Tier 3,Urban,Not Placed
STU_1226,Male,Tier 2,Urban,Placed
STU_0931,Male,Tier 1,Urban,Placed
STU_0610,Male,Tier 1,Rural,Placed
STU_1191,Female,Tier 1,Rural,Placed
STU_0212,Male,Tier 2,Semi-Urban,Placed
STU_0804,Female,Tier 2,Semi-Urban,Placed
STU_1205,Male,Tier 2,Rural,Placed
STU_0994,Female,Tier 3,Urban,Placed
STU_0250,Female,Tier 2,Semi-Urban,Not Placed
STU_0986,Female,Tier 3,Semi-Urban,Placed
STU_0736,Male,Tier 2,Semi-Urban,Placed
STU_0182,Female,Tier 2,Rural,Placed
STU_0536,Female,Tier 2,Semi-Urban,Placed
STU_1150,Male,Tier 1,Urban,Placed
STU_0162,Female,Tier 1,Semi-Urban,Placed
STU_0108,Male,Tier 2,Semi-Urban,Not Placed
STU_0901,Male,Tier 1,Urban,Not Placed
STU_1114,Female,Tier 3,Rural,Placed
STU_0324,Male,Tier 3,Semi-Urban,Not Placed
STU_0369,Female,Tier 2,Urban,Not Placed
STU_0989,Female,Tier 3,Urban,Not Placed
STU_0779,Male,Tier 1,Rural,Placed
STU_0997,Female,Tier 2,Rural,Placed
STU_0547,Female,Tier 3,Urban,Placed
STU_1409,Male,Tier 2,Semi-Urban,Placed
STU_0477,Female,Tier 1,Rural,Not Placed
STU_0607,Male,Tier 3,Urban,Placed
STU_0756,Female,Tier 3,Rural,Not Placed
STU_0247,Female,Tier 2,Urban,Not Placed
STU_0416,Female,Tier 2,Urban,Placed
STU_1314,Female,Tier 1,Urban,Placed
STU_0564,Male,Tier 2,Rural,Placed
STU_1101,Female,Tier 2,Semi-Urban,Placed
STU_0175,Female,Tier 2,Semi-Urban,Placed
STU_0889,Male,Tier 2,Semi-Urban,Not Placed
STU_0345,Female,Tier 2,Rural,Not Placed
STU_0309,Male,Tier 2,Urban,Not Placed
STU_1253,Female,Tier 2,Semi-Urban,Not Placed
STU_1152,Female,Tier 3,Rural,Placed
STU_0020,Male,Tier 1,Urban,Not Placed
STU_1348,Male,Tier 3,Urban,Placed
STU_0059,Female,Tier 1,Semi-Urban,Not Placed
