student_id,python_score,sql_score,excel_score,stats_score,ml_score,powerbi_score,comm_score,aptitude_score,cgpa,projects_count,internships_count,certifications_count,target_role,placement_status,gender,college_tier,socioeconomic_status
STU_0001,29,43,76,40,36,49,79,58,5.82,1,0,2,Business Analyst,Not Placed,Female,Tier 3,Urban
STU_0002,90,88,71,91,83,69,72,69,8.9,3,1,1,Data Science Intern,Placed,Male,Tier 2,Semi-Urban
STU_0003,82,49,48,69,84,41,53,73,6.16,2,0,1,ML Intern,Not Placed,Female,Tier 2,Urban
STU_0004,79,70,55,64,79,54,50,66,5.8,3,0,3,Data Scientist,Not Placed,Female,Tier 3,Semi-Urban
STU_0005,67,86,88,84,65,73,78,85,8.0,3,0,2,Data Analyst,Placed,Male,Tier 2,Urban
STU_0006,77,99,99,88,66,98,81,82,8.84,5,1,4,Data Analyst,Placed,Male,Tier 1,Rural
STU_0007,66,99,81,86,63,74,78,61,7.97,4,2,3,Data Analyst,Placed,Female,Tier 3,Urban
STU_0008,64,89,76,66,65,85,69,84,8.2,2,1,3,BI Analyst,Placed,Male,Tier 2,Semi-Urban
STU_0009,99,71,65,91,83,49,74,90,7.3,4,1,2,ML Intern,Placed,Female,Tier 2,Urban
STU_0010,94,66,73,78,88,57,78,85,7.3,3,1,2,ML Intern,Placed,Female,Tier 2,Semi-Urban
STU_0011,69,89,84,76,37,80,74,65,7.7,2,1,2,Data Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0012,78,72,80,88,68,62,69,70,7.03,2,0,3,Data Science Intern,Not Placed,Female,Tier 3,Rural
STU_0013,58,75,70,67,53,80,81,66,7.34,2,2,3,BI Analyst,Placed,Male,Tier 1,Urban
STU_0014,52,68,83,63,41,70,83,74,6.77,2,1,2,Business Analyst,Not Placed,Male,Tier 3,Urban
STU_0015,57,67,73,62,46,72,64,70,6.51,1,0,5,Data Analyst,Not Placed,Male,Tier 1,Semi-Urban
STU_0016,67,76,70,59,47,74,61,59,7.59,1,1,4,Data Analyst,Placed,Female,Tier 2,Urban
STU_0017,38,55,80,47,33,57,76,65,5.94,2,0,1,Business Analyst,Not Placed,Female,Tier 3,Urban
STU_0018,89,62,57,86,83,78,68,68,6.76,3,1,2,Data Scientist,Placed,Male,Tier 3,Semi-Urban
STU_0019,79,58,54,73,84,49,60,66,6.92,3,1,3,Data Scientist,Placed,Male,Tier 1,Semi-Urban
STU_0020,58,54,92,61,43,69,82,60,6.07,1,0,1,Business Analyst,Not Placed,Male,Tier 1,Urban
STU_0021,85,75,55,68,87,64,72,74,6.97,3,0,2,ML Intern,Placed,Female,Tier 3,Urban
STU_0022,76,86,74,68,71,83,73,75,8.14,4,1,3,Data Analyst,Placed,Male,Tier 1,Rural
STU_0023,69,79,99,63,52,65,99,76,7.98,3,0,3,Business Analyst,Placed,Female,Tier 2,Semi-Urban
STU_0024,44,46,72,46,33,60,73,78,6.58,2,0,2,Business Analyst,Not Placed,Male,Tier 3,Urban
STU_0025,72,73,64,75,72,51,70,73,6.24,2,0,2,Data Scientist,Not Placed,Female,Tier 2,Urban
STU_0026,57,88,74,72,56,88,72,68,7.87,3,0,3,BI Analyst,Placed,Female,Tier 1,Semi-Urban
STU_0027,61,86,70,67,31,69,63,58,6.35,2,1,3,Data Analyst,Not Placed,Female,Tier 2,Urban
STU_0028,77,70,61,81,64,41,60,78,6.75,3,1,3,Data Scientist,Not Placed,Male,Tier 3,Rural
STU_0029,67,75,59,97,82,64,70,63,7.85,3,2,0,Data Scientist,Placed,Male,Tier 2,Semi-Urban
STU_0030,63,79,79,93,32,86,61,67,6.33,2,1,3,Data Analyst,Not Placed,Female,Tier 3,Semi-Urban
STU_0031,86,65,50,81,75,56,59,66,7.26,4,0,1,ML Intern,Placed,Female,Tier 2,Rural
STU_0032,52,85,69,64,40,77,66,77,6.35,2,1,3,Data Analyst,Not Placed,Male,Tier 1,Urban
STU_0033,58,84,78,75,44,81,64,67,6.36,2,2,1,Data Analyst,Placed,Other,Tier 2,Urban
STU_0034,76,75,66,78,83,71,76,70,7.63,2,0,4,Data Science Intern,Placed,Male,Tier 2,Semi-Urban
STU_0035,59,71,64,78,58,52,48,61,6.34,1,0,1,Data Science Intern,Not Placed,Male,Tier 2,Semi-Urban
STU_0036,66,79,85,63,53,80,77,50,6.67,3,1,3,BI Analyst,Placed,Male,Tier 2,Urban
STU_0037,49,50,93,66,48,83,78,93,7.19,2,2,2,Business Analyst,Not Placed,Female,Tier 3,Urban
STU_0038,72,83,91,62,49,76,67,65,7.16,3,1,3,Data Analyst,Not Placed,Female,Tier 3,Urban
STU_0039,96,67,58,75,73,53,49,75,7.62,3,2,1,ML Intern,Placed,Male,Tier 1,Urban
STU_0040,82,98,74,92,98,58,77,84,7.41,5,0,2,Data Scientist,Placed,Male,Tier 3,Semi-Urban
STU_0041,65,92,86,71,40,71,68,71,7.05,2,0,2,Data Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0042,74,92,69,86,80,54,57,74,6.97,3,1,2,Data Scientist,Placed,Male,Tier 1,Urban
STU_0043,65,73,83,67,38,72,66,85,7.19,2,0,2,Data Analyst,Not Placed,Female,Tier 1,Urban
STU_0044,81,65,71,66,81,61,70,85,7.69,3,1,4,Data Science Intern,Placed,Female,Tier 2,Urban
STU_0045,41,52,80,68,34,51,82,84,6.6,2,1,2,Business Analyst,Not Placed,Male,Tier 2,Urban
STU_0046,95,65,51,87,72,47,64,78,7.7,3,0,2,ML Intern,Placed,Male,Tier 1,Urban
STU_0047,43,59,62,52,45,61,82,80,6.86,2,1,2,Business Analyst,Placed,Female,Tier 1,Urban
STU_0048,79,74,49,79,83,56,58,74,7.18,2,0,2,Data Scientist,Placed,Male,Tier 1,Urban
STU_0049,83,54,62,74,78,60,49,64,6.56,2,1,3,Data Scientist,Not Placed,Male,Tier 3,Semi-Urban
STU_0050,69,85,99,70,57,88,68,76,8.15,3,1,3,Data Analyst,Placed,Male,Tier 3,Semi-Urban
STU_0051,70,63,58,65,52,58,75,66,5.9,1,1,3,Data Science Intern,Not Placed,Male,Tier 2,Urban
STU_0052,54,82,65,71,46,95,65,80,6.49,2,0,2,BI Analyst,Not Placed,Female,Tier 3,Rural
STU_0053,76,73,63,70,75,59,50,60,7.23,2,0,3,Data Science Intern,Placed,Female,Tier 2,Rural
STU_0054,77,79,69,89,60,68,59,82,8.12,3,1,1,Data Science Intern,Placed,Female,Tier 3,Rural
